year,month,precipitation
1987,10,0
1987,11,0
1987,12,0
1988,1,9.8
1988,2,14.7
1988,3,7.4
1988,4,0.7
1988,5,0
1988,6,0
1988,7,12
1988,8,0
1988,9,5
1988,10,0.4
1988,11,0
1988,12,2
1989,1,0.4
1989,2,27
1989,3,4.8
1989,4,4.2
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,4
1989,12,3.7
1990,1,16.4
1990,2,15.3
1990,3,0.9
1990,4,3.7
1990,5,22.5
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,8.1
1990,12,15.6
1991,1,49.7
1991,2,35.2
1991,3,71.8
1991,4,1.1
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,4.3
1991,12,11
1992,1,6.8
1992,2,0.5
1992,3,9.3
1992,4,9.4
1992,5,14.8
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,38
1992,11,0
1992,12,4.8
1993,1,25.3
1993,2,2
1993,3,0.6
1993,4,4.5
1993,5,0
1993,6,3.2
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,31.4
1994,2,1.3
1994,3,15
1994,4,13.9
1994,5,5.6
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,6.2
1994,11,5.2
1994,12,13.2
1995,1,2.9
1995,2,4.5
1995,3,12.5
1995,4,21.6
1995,5,1.4
1995,6,0.2
1995,7,23.2
1995,8,0
1995,9,0
1995,10,0.1
1995,11,0.2
1995,12,85.4
1996,1,51.1
1996,2,8.2
1996,3,27.3
1996,4,26.8
1996,5,14.3
1996,6,2
1996,7,0
1996,8,0
1996,9,1.8
1996,10,0
1996,11,0.2
1996,12,0
1997,1,16.1
1997,2,7
1997,3,3.4
1997,4,39.6
1997,5,0.8
1997,6,4
1997,7,0
1997,8,0
1997,9,0
1997,10,23
1997,11,30.2
1997,12,10.7
1998,1,16.8
1998,2,17.2
1998,3,6.9
1998,4,3
1998,5,0
1998,6,0.1
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,0
1998,12,0
1999,1,14.4
1999,2,26.7
1999,3,5.2
1999,4,0
1999,5,1.3
1999,6,0
1999,7,2.5
1999,8,0
1999,9,0
1999,10,0
1999,11,6.2
1999,12,0
2000,1,24.9
2000,2,0.1
2000,3,13.3
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0.4
2000,12,2
2001,1,2
2001,2,3
2001,3,6
2001,4,0.3
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,7
2002,1,0.6
2002,2,3.5
2002,3,1.2
2002,4,1.9
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0.4
2002,11,26.7
2002,12,0
2003,1,7.4
2003,2,14.8
2003,3,6
2003,4,0.4
2003,5,0
2003,6,0
2003,7,3
2003,8,0
2003,9,0
2003,10,0
2003,11,0
2003,12,0
2004,1,17
2004,2,0
2004,3,0
2004,4,0
2004,5,0.7
2004,6,0
2004,7,0
2004,8,0
2004,9,0
2004,10,0
2004,11,0
2004,12,47.2
2005,1,4.5
2005,2,55
2005,3,25.6
2005,4,7.3
2005,5,10
2005,6,1.1
2005,7,0
2005,8,0.1
2005,9,0
2005,10,0
2005,11,0
2005,12,0
2006,1,15
2006,2,2.3
2006,3,1.7
2006,4,1.4
2006,5,0.8
2006,6,0
2006,7,0
2006,8,0
2006,9,0
2006,10,0.2
2006,11,4.2
2006,12,15.6
2007,1,7.8
2007,2,16
2007,3,31.2
2007,4,3.3
2007,5,4
2007,6,26.5
2007,7,0
2007,8,0
2007,9,0
2007,10,0
2007,11,5
2007,12,0
2008,1,57.5
2008,2,0.8
2008,3,0
2008,4,0.2
2008,5,0.2
2008,6,0
2008,7,0
2008,8,0
2008,9,0
2008,10,0
2008,11,1.2
2008,12,41.3
2009,1,10.7
2009,2,4.4
2009,3,18
2009,4,16.3
2009,5,0
2009,6,0
2009,7,0
2009,8,0
2009,9,0
2009,10,0
2009,11,0
2009,12,53.3
2010,1,0
2010,2,20.3
2010,3,0
2010,4,0.1
2010,5,12.8
2010,6,0
2010,7,0
2010,8,0
2010,9,0
2010,10,2
2010,11,0
2010,12,0
2011,1,9.4
2011,2,58.2
2011,3,18.7
2011,4,15.9
2011,5,11.6
2011,6,0
2011,7,0
2011,8,0
2011,9,0
2011,10,4.4
2011,11,0
2011,12,0
2012,1,10.7
2012,2,8
2012,3,0
2012,4,24.2
2012,5,0
2012,6,0.1
2012,7,0
2012,8,0
2012,9,0.1
2012,10,0.2
2012,11,0.4
2012,12,18.7
2013,1,6.1
2013,2,2.7
2013,3,8.7
2013,4,21.9
2013,5,0.9
2013,6,0.1
2013,7,0
2013,8,4.3
2013,9,1
2013,10,0.1
2013,11,5.3
2013,12,0.3
2014,1,26.6
2014,2,4.6
2014,3,29.7
2014,4,7.6
2014,5,1.7
2014,6,0
2014,7,0
2014,8,0
2014,9,0
2014,10,0.3
2014,11,0
2014,12,0
2015,1,7.62
2015,2,17.27
2015,3,20.31
2015,4,1.52
2015,5,0
2015,6,0
2015,7,0
2015,8,0.25
2015,9,0
2015,10,25.91
2015,11,9.66
2015,12,14.99
2016,1,4.5
2016,2,0.02
2016,3,21.85
2016,4,1.62
2016,5,3.16
2016,6,0.02
2016,7,0
2016,8,0
2016,9,0
2016,10,0.01
2016,11,0
2016,12,0
2017,1,0
2017,2,0
2017,3,0
2017,4,0
2017,5,0
2017,6,0
2017,7,0
2017,8,0
2017,9,10
